Nom recette;Contenu;But;Ingrédients;Utilisation;Enchantement;
Liqueur de Bagdol;But. Obtenir 3 doses de liqueur de Bagdol. Ingrédients. 2 écailles de grains de madzagra (arbuste des régions chaudes), 1 mesure d'eau alchimiquement simple. Temps  de  préparation.  20  à  60  minutes  de torréfaction. 15 minutes.Manipulation.  Torréfier  les  grains  en  les  calcinant lentement  à  feu  nu.  Le  degré  de  torréfaction  n'a  aucune incidence  sur  la  recette.  Quand ils  sont  bien  noirs,  moudre les  grains  jusqu'à  consistance  cheval-cheval  et  met tre  la mouture dans un filtre de parchemin de veau au dessus d'un récipient.  Chauffer  l'eau  alchimiquement  simple  à température noir-noir et verser lentement sur la mouture. Il doit s'en écouler un liquide noir et odorant. Examiner alors le dépôt demeuré dans le filtre. S'il dessine çà et là les lettres L  et  B,  le  liquide  filtré  est  de  la  liqueur  de  Bagdol.  En  cas d'échec,  la  boisson  obtenue  est  néanmoins  tonifiant e,  à consommer  nature  ou  avec  un  nuage  de  lait,  avec  ou  sans sucre.;Obtenir 3 doses de liqueur de Bagdol;2 écailles de grains de madzagra (arbuste des régions chaudes), 1 mesure d'eau alchimiquement simple. Temps  de  préparation.  20  à  60  minutes  de torréfaction. 15 minutes.Manipulation.  Torréfier  les  grains  en  les  calcinant lentement  à  feu  nu.  Le  degré  de  torréfaction  n'a  aucune incidence  sur  la  recette.  Quand ils  sont  bien  noirs,  moudre les  grains  jusqu'à  consistance  cheval-cheval  et  met tre  la mouture dans un filtre de parchemin de veau au dessus d'un récipient.  Chauffer  l'eau  alchimiquement  simple  à température noir-noir et verser lentement sur la mouture. Il doit s'en écouler un liquide noir et odorant. Examiner alors le dépôt demeuré dans le filtre. S'il dessine çà et là les lettres L  et  B,  le  liquide  filtré  est  de  la  liqueur  de  Bagdol.  En  cas d'échec,  la  boisson  obtenue  est  néanmoins  tonifiant e,  à consommer  nature  ou  avec  un  nuage  de  lait,  avec  ou  sans sucre.;Remède;;
Liqueur d'Hal Kohol;Liqueur d'Hal Kohol But. Fabriquer une liqueur fortement alcoolisée Ingrédients. 1 pinte de liqueur de force alcoolique 4, 1 pinte d'alcool alchimiquement simple, 9 brins de Mercurion Manipulation. L'alcool alchimiquement simple s'obtient à l'aide de la Reliquefaction d'Algagath le Vieil, en remplaçant l'eau filtré par de l'alcool, filtré lui aussi, de force alcoolique 4. Mélanger alors tous les ingrédients, puis chauffer jusqu'à couleur Sangue. Se méfier des vapeurs qui s'échappent alors du chaudron : la pinte de liqueur obtenue a une force de 11. Source;Fabriquer une liqueur fortement alcoolisée;1 pinte de liqueur de force alcoolique 4, 1 pinte d'alcool alchimiquement simple, 9 brins de Mercurion Manipulation. L'alcool alchimiquement simple s'obtient à l'aide de la Reliquefaction d'Algagath le Vieil, en remplaçant l'eau filtré par de l'alcool, filtré lui aussi, de force alcoolique 4. Mélanger alors tous les ingrédients, puis chauffer jusqu'à couleur Sangue. Se méfier des vapeurs qui s'échappent alors du chaudron : la pinte de liqueur obtenue a une force de 11. Source;;;
Gouttes de lumière;Gouttes de lumière But. Permettre de voir dans le noir aussi bien ou presque que le jour. La manipulation permet d'obtenir 1 doigt de produit, de quoi pratiquer une bonne vingtaine d'applications. Ingrédients. 1/2 écailles d'ongles de drakkule (Livre 3, p. 47-48), 3 doigts d'urine d'aligate (Livre 3, p. 45), 1 gemme oeil de tigre (Taille 3) (Livre 3 p. 30), 8 brins de névropenthe Temps de préparation. 20 minutes, puis 2 heures de repos, et encore 20 minutes. Manipulation. Chauffer l'ongle de drakkule, l'urine d'aligate et la névropenthe jusqu'à couleur pourpre-bleu-gris- vert-glauque, puis couvrir et laisser reposer 2 heures. Ajouter l'oeil de tigre et chauffer à nouveau jusqu'à couleur sangue- brun-brun-vert-bleu-gris. Tirer hors du feu et refroidir promptement en trempant le récipient dans de l'eau froide ou de la neige. Si la manipulation a réussi, la gemme est intacte et on obtient un liquide translucide comme de l'eau de roche. Si la gemme est fendillée, la manipulation a échoué. Son application sur les yeux provoque une irritation qui rend partiellement aveugle (VUE -7). On peut se passer de la gemme, mais il faut réussir un jet de VUE à -5 pour s'apercevoir que le liquide est légèrement trouble en cas de mauvaise manipulation. Utilisation. Quelques gouttes dans les yeux permettent de voir avec une très faible luminosité (la lune, une bougie, etc.) aussi bien que le jour. Attention tout de même à la conservation du produit qui doit être parfaitement propre, et qui de toute façon ne se conserve que quelques jours. Source;Permettre de voir dans le noir aussi bien ou presque que le jour. La manipulation permet d'obtenir 1 doigt de produit, de quoi pratiquer une bonne vingtaine d'applications.;1/2 écailles d'ongles de drakkule (Livre 3, p. 47-48), 3 doigts d'urine d'aligate (Livre 3, p. 45), 1 gemme oeil de tigre (Taille 3) (Livre 3 p. 30), 8 brins de névropenthe Temps de préparation. 20 minutes, puis 2 heures de repos, et encore 20 minutes. Manipulation. Chauffer l'ongle de drakkule, l'urine d'aligate et la névropenthe jusqu'à couleur pourpre-bleu-gris- vert-glauque, puis couvrir et laisser reposer 2 heures. Ajouter l'oeil de tigre et chauffer à nouveau jusqu'à couleur sangue- brun-brun-vert-bleu-gris. Tirer hors du feu et refroidir promptement en trempant le récipient dans de l'eau froide ou de la neige. Si la manipulation a réussi, la gemme est intacte et on obtient un liquide translucide comme de l'eau de roche. Si la gemme est fendillée, la manipulation a échoué. Son application sur les yeux provoque une irritation qui rend partiellement aveugle (VUE -7). On peut se passer de la gemme, mais il faut réussir un jet de VUE à -5 pour s'apercevoir que le liquide est légèrement trouble en cas de mauvaise manipulation.;Quelques gouttes dans les yeux permettent de voir avec une très faible luminosité (la lune, une bougie, etc.) aussi bien que le jour. Attention tout de même à la conservation du produit qui doit être parfaitement propre, et qui de toute façon ne se conserve que quelques jours. Source;;
Peinture lumineuse;Peinture lumineuse But. Obtenir une peinture verte qui brille légèrement dans le noir. Ingrédients. Un ver luisant pilé, des graines de tournesol, 5 feuilles de menthe fraîche, 3 pépins de candique pour une mesure de peinture. Manipulation. Se mettre en plein soleil, piler la menthe fraîche avec le candique et les graines de tournesol. Incorporer lever luisant jusqu'à consistance Serpent-Renard (-2). Chauffer jusqu'à couleur Vert-Glauque (-2). Laisser refroidir. Vous devez obtenir un liquide épais d'un beau vert brillant. Si le mélange durcit brusquement, la manipulation a échoué. Utilisation. Comme de la peinture classique. Note. Ceci ne permet pas d'éclairer une pièce, la peinture est juste visible dans le noir. Enchantement. Non enchantable. Source;Obtenir une peinture verte qui brille légèrement dans le noir.;Un ver luisant pilé, des graines de tournesol, 5 feuilles de menthe fraîche, 3 pépins de candique pour une mesure de peinture. Manipulation. Se mettre en plein soleil, piler la menthe fraîche avec le candique et les graines de tournesol. Incorporer lever luisant jusqu'à consistance Serpent-Renard (-2). Chauffer jusqu'à couleur Vert-Glauque (-2). Laisser refroidir. Vous devez obtenir un liquide épais d'un beau vert brillant. Si le mélange durcit brusquement, la manipulation a échoué.;Comme de la peinture classique. Note. Ceci ne permet pas d'éclairer une pièce, la peinture est juste visible dans le noir.;Non enchantable. Source;
Mangeur d'encre;Mangeur d'encre But. Effacer l'encre pour pouvoir réutiliser des parchemins. Ingrédients. 2 brins de pollen de capucine, 3 doigts de sève de sapin, 4 écailles de cire d'abeille, 2 écailles de savon, 5 brins de boralm Temps de préparation. 10 minutes, puis une demi-heure de repos, 30 minutes et encore 7 heures de repos. Manipulation. Faire fondre la cire d'abeille puis ajouter le boralm et le savon, mélanger jusqu'à consistance lapin- hibou-renard-lapin-mouton. Laisser refroidir 1/2 heure, puis, dans le mélange encore liquide, incorporer le pollen et chauffer vivement jusqu'à couleur bleu-gris-vert-sangue- brun. Ajouter la sève de sapin et remuer énergiquement durant 10 minutes (FORCE à -2). Tirer hors du feu et mélanger jusqu'à consistance serpent-cheval-hibou. Laisser reposer 7 heures. On doit obtenir un morceau de pâte solide et élastique de couleur jaune. Si le mélange reste liquide et dégage une fumée noirâtre à l'odeur âcre et désagréable, il n'a aucune propriété. Utilisation. Le morceau de pâte s'utilise pour gommer l'encre. Un mangeur permet de gommer 10 feuilles de parchemin et se conserve sans problème durant de nombreuses années. Source;Effacer l'encre pour pouvoir réutiliser des parchemins.;2 brins de pollen de capucine, 3 doigts de sève de sapin, 4 écailles de cire d'abeille, 2 écailles de savon, 5 brins de boralm Temps de préparation. 10 minutes, puis une demi-heure de repos, 30 minutes et encore 7 heures de repos. Manipulation. Faire fondre la cire d'abeille puis ajouter le boralm et le savon, mélanger jusqu'à consistance lapin- hibou-renard-lapin-mouton. Laisser refroidir 1/2 heure, puis, dans le mélange encore liquide, incorporer le pollen et chauffer vivement jusqu'à couleur bleu-gris-vert-sangue- brun. Ajouter la sève de sapin et remuer énergiquement durant 10 minutes (FORCE à -2). Tirer hors du feu et mélanger jusqu'à consistance serpent-cheval-hibou. Laisser reposer 7 heures. On doit obtenir un morceau de pâte solide et élastique de couleur jaune. Si le mélange reste liquide et dégage une fumée noirâtre à l'odeur âcre et désagréable, il n'a aucune propriété.;Le morceau de pâte s'utilise pour gommer l'encre. Un mangeur permet de gommer 10 feuilles de parchemin et se conserve sans problème durant de nombreuses années. Source;;
Marmelade d'Echines aux graines vertes de Surpins;But. Faire une dose d'antidote au Fiel de roche. Ingrédients. 1 Nuit d·Echine, 3 graines vertes de Surpins, une pinte d·eau alchimiquement pure. Manipulation. Tuer 1 Nuit d·Echine par dose nécessaire. Prélever  ensuite  délicatement  l·unique  glande  salivaire (Dextérité  /  Zoologie  à  -1).  Les  graines  vertes  de  Surpins, quant  à  elles,  ne  peuvent  être  obtenues  qu'en  tentant l'ascension de l'un des ces immenses conifères. Il faut alors arriver au bout d'une branche, près d'une pomme de Surpin, sorte de grosse noix percée. A l'intérieur, parfois, se trouve une  graine  verte.  Trois  graines  seront  nécessaires  par  dose l'antidote. Le reste n'est que formalités : broyer le tout, faire chauffer  dans  une  pinte  d'eau  alchimiquement  pure,  et laisser réduire jusqu'à l'obtention d'une pâte verdâtre. Utilisation. La pâte s'applique à l'endroit de la blessure.;Faire une dose d'antidote au Fiel de roche;Ingrédients. 1 Nuit d·Echine, 3 graines vertes de Surpins, une pinte d'eau alchimiquement pure. Manipulation. Tuer 1 Nuit d·Echine par dose nécessaire. Prélever  ensuite  délicatement  l·unique  glande  salivaire (Dextérité  /  Zoologie  à  -1).  Les  graines  vertes  de  Surpins, quant  à  elles,  ne  peuvent  être  obtenues  qu'en  tentant l'ascension de l'un des ces immenses conifères. Il faut alors arriver au bout d'une branche, près d'une pomme de Surpin, sorte de grosse noix percée. A l'intérieur, parfois, se trouve une  graine  verte.  Trois  graines  seront  nécessaires  par  dose l'antidote. Le reste n'est que formalités : broyer le tout, faire chauffer  dans  une  pinte  d'eau  alchimiquement  pure,  et laisser réduire jusqu'à l'obtention d'une pâte verdâtre;La pâte s'applique à l'endroit de la blessure.;;
Poudre du Mauvais Oeil;Poudre du Mauvais Oeil But. Faire trébucher les gens. Ingrédients. 1 fumebol (champignon), 2 pépins d'obyssum vert, 5 brins de Nartha, 1 mesure d'eau alchimiquement pure. Manipulation. Hacher le fumebol en petits morceaux. Incorporer l'obyssum vert et mélanger pour une consistance lapin-serpent (-2). Faire bouillir l'eau alchimiquement pure et mettre les brins de nartha. Ajouter le mélange précédemment obtenu et chauffer jusqu'à couleur bleu-vert (-2). Faire évaporer l'eau par ébullition jusqu'à consistance cheval-renard-renard (-3). Si la manipulation a réussi, on obtient une pâte friable qu'il faut ensuite réduire en poudre avec un mortier. Utilisation. Jeter une poignée de poudre sur une personne. Celle-ci doit alors réussir un jet d'Agilité à -8 sinon, elle s'emmêle les pieds et s'étale par terre. Enchantement. Non enchantable Source;Faire trébucher les gens.;1 fumebol (champignon), 2 pépins d'obyssum vert, 5 brins de Nartha, 1 mesure d'eau alchimiquement pure. Manipulation. Hacher le fumebol en petits morceaux. Incorporer l'obyssum vert et mélanger pour une consistance lapin-serpent (-2). Faire bouillir l'eau alchimiquement pure et mettre les brins de nartha. Ajouter le mélange précédemment obtenu et chauffer jusqu'à couleur bleu-vert (-2). Faire évaporer l'eau par ébullition jusqu'à consistance cheval-renard-renard (-3). Si la manipulation a réussi, on obtient une pâte friable qu'il faut ensuite réduire en poudre avec un mortier.;Jeter une poignée de poudre sur une personne. Celle-ci doit alors réussir un jet d'Agilité à -8 sinon, elle s'emmêle les pieds et s'étale par terre.;Non enchantable Source;
Philtre de Mélita;"Philtre de Mélita (remède) But. Obtenir 3 doses de philtre de Mélita. Ingrédients. 1 pinte deau alchimiquement pure, 3 paillettes de zyglute en chaleur, 1 fruit de bombarde ayant attendu 10 heures au moins, 2 yeux de chafouins, 1 poil de fesse humain, 1 poil de fesse gnome, 7 gouttes de rosée de   heure du Vaisseau, 1 décoction dortigal noir Manipulation. Distiller une pinte d'eau alchimiquement pure (intellect/alchimie à 0 ou transmutation élémentale x en eau). Broyer dans un mortier au pilon d'argent les 3 paillettes de zyglute, le fruit de bombarde, les 2 yeux de chafouin, les poils de fesse, et mélanger avec les 7 gouttes de rosée. Porter à ébullition une décoction d'ortigal noir dans une demi-pinte d'eau alchimiquement pure et distiller pour obtenir les ferments de la feuille (intellect/alchimie à -2. 10 mn. 3 points de tâche). Laisser reposer une heure. Mélanger le reste de l'eau alchimiquement pure avec la bouillie du mortier jusqu'à obtention d'une fluidité d'Exocrate (dextérité/alchimie à -4. 30 mn. 2 points de tâche). Porter à température bleu-bleuvert en faisant remuer par une personne en excès de rêve puis laisser refroidir en faisant remuer par une personne en manque de rêve jusqu'à température bleu-vert-vert. Distiller jusqu'à obtention du jus intrinsèque (intellect/alchimie à -3. 40 mn. 4 points de tâche). De la plume, il y a une sorte de mousse blanche et crémeuse, pour environ 3 mesures. Utilisation. Le philtre a les vertus suivantes : guérir les écrouelles, faire disparaître les scrofules, diminuer de moitié les verrues, éliminer les odeurs aux pieds, et tuer les Taklostêtleurinnzeny (entité du cauchemar incarnée) lorsqu'ils sont touchés dans l'oeil par une lame enduite de ce philtre. Pas d'utilisation prolongée sans avis de votre apothicaire... Note Des points de tâche négatifs ne font que ralentir la recette jusqu'à ce que les points négatifs deviennent égaux ou supérieurs aux points positifs à obtenir. Dans ce cas, les ingrédients sont perdus.
Pour attirer une zyglute en chaleur, il faut sautiller en rond, nu avec de grandes plumes de zyglute dans les mains en poussant le cri de la zyglute en chaleur - un très sensuel et langoureux ""glou-glou-glou"". Ne pas hésiter à abuser du rôle-playing pour cette chasse épique. Source";Obtenir 3 doses de philtre de Mélita.;1 pinte deau alchimiquement pure, 3 paillettes de zyglute en chaleur, 1 fruit de bombarde ayant attendu 10 heures au moins, 2 yeux de chafouins, 1 poil de fesse humain, 1 poil de fesse gnome, 7 gouttes de rosée de   heure du Vaisseau, 1 décoction dortigal noir Manipulation. Distiller une pinte d'eau alchimiquement pure (intellect/alchimie à 0 ou transmutation élémentale x en eau). Broyer dans un mortier au pilon d'argent les 3 paillettes de zyglute, le fruit de bombarde, les 2 yeux de chafouin, les poils de fesse, et mélanger avec les 7 gouttes de rosée. Porter à ébullition une décoction d'ortigal noir dans une demi-pinte d'eau alchimiquement pure et distiller pour obtenir les ferments de la feuille (intellect/alchimie à -2. 10 mn. 3 points de tâche). Laisser reposer une heure. Mélanger le reste de l'eau alchimiquement pure avec la bouillie du mortier jusqu'à obtention d'une fluidité d'Exocrate (dextérité/alchimie à -4. 30 mn. 2 points de tâche). Porter à température bleu-bleuvert en faisant remuer par une personne en excès de rêve puis laisser refroidir en faisant remuer par une personne en manque de rêve jusqu'à température bleu-vert-vert. Distiller jusqu'à obtention du jus intrinsèque (intellect/alchimie à -3. 40 mn. 4 points de tâche). De la plume, il y a une sorte de mousse blanche et crémeuse, pour environ 3 mesures.;"Le philtre a les vertus suivantes : guérir les écrouelles, faire disparaître les scrofules, diminuer de moitié les verrues, éliminer les odeurs aux pieds, et tuer les Taklostêtleurinnzeny (entité du cauchemar incarnée) lorsqu'ils sont touchés dans l'oeil par une lame enduite de ce philtre. Pas d'utilisation prolongée sans avis de votre apothicaire... Note Des points de tâche négatifs ne font que ralentir la recette jusqu'à ce que les points négatifs deviennent égaux ou supérieurs aux points positifs à obtenir. Dans ce cas, les ingrédients sont perdus.
Pour attirer une zyglute en chaleur, il faut sautiller en rond, nu avec de grandes plumes de zyglute dans les mains en poussant le cri de la zyglute en chaleur - un très sensuel et langoureux ""glou-glou-glou"". Ne pas hésiter à abuser du rôle-playing pour cette chasse épique. Source";;
Le mirobolant;Le mirobolant (remède) But. Obtenir 3 doses de mirobolant. Ingrédients. 1 mesure de brandevin, 1 écaille de miel, 10 brins de canople (épice culinaire), 10 brins de pif-paf (épice culinaire), 4 brins de névropenthe, 2 brins de chramaelium. Temps de préparation. Deux fois 10 minutes suivies d'une heure de repos. Puis 15 minutes et encore une heure de repos. Manipulation. Amalgamer le miel, la canople et le pif-paf jusqu'à consistance chèvre-renard et laisser reposer une heure. Introduire la névropenthe et travailler à nouveau jusqu'à consistance chèvre-renard. Laisser reposer encore une heure. Introduire la pâte obtenue dans le brandevin et porter le tout à température bleu. Ajouter vivement le chramaelium et remuer lentement, toujours sur le feu, jusqu'à percevoir clairement la température pourpre. Cesser de remuer, tirer hors du feu, couvrir et laisser entièrement refroidir (environ une heure). Le liquide obtenu doit être clair et sans dépôt. En cas d'échec, le liquide est trouble. Source;Obtenir 3 doses de mirobolant.;1 mesure de brandevin, 1 écaille de miel, 10 brins de canople (épice culinaire), 10 brins de pif-paf (épice culinaire), 4 brins de névropenthe, 2 brins de chramaelium. Temps de préparation. Deux fois 10 minutes suivies d'une heure de repos. Puis 15 minutes et encore une heure de repos. Manipulation. Amalgamer le miel, la canople et le pif-paf jusqu'à consistance chèvre-renard et laisser reposer une heure. Introduire la névropenthe et travailler à nouveau jusqu'à consistance chèvre-renard. Laisser reposer encore une heure. Introduire la pâte obtenue dans le brandevin et porter le tout à température bleu. Ajouter vivement le chramaelium et remuer lentement, toujours sur le feu, jusqu'à percevoir clairement la température pourpre. Cesser de remuer, tirer hors du feu, couvrir et laisser entièrement refroidir (environ une heure). Le liquide obtenu doit être clair et sans dépôt. En cas d'échec, le liquide est trouble. Source;;;
Mousse qui gonfle au contact de l'eau;Mousse qui gonfle au contact de l'eau But. Comme son nom l'indique... pour traverser à pied sec, pour réparer en urgence une coque de navire, pour sauver un ami de la noyade... Ingrédients. Un plant de calamine (Livre 3, p. 24), 4 pépins de candique, 2 mesures d'eau alchimiquement simple, 1/2 livre de farine, une plume d'un oiseau de mer ou de rivage. Manipulation. Faire chauffer l'eau alchimiquement simple et verser les pépins de candique à la température Bleu-Pourpre-Sangue (Vue/Alchimie à -3). Découper la calamine en petits morceaux et les jeter au fur et à mesure. Arrêter dès que la couleur atteint Bleu-Pourpre-Gris (Vue/Alchimie à-3). Déverser alors toute la farine dans le récipient et remuer vigoureusement. Ne s'arrêter que lorsque la consistance est Hibou-Hibou-Hibou (Dextérité/Alchimie à-3). Plonger alors la plume dans le tout et la retirer prestement. Collée le long de la plume, il y a une sorte de mousse blanche et crémeuse, pour environ 3 mesures. Utilisation. Jeter une mesure de mousse dans l'eau. Elle gonfle furieusement pour donner une sphère d'un bon mètre de diamètre et solidifie rapidement et flotte sur l'eau. Par la suite la mousse garde une consistance proche du plâtre, sans se décomposer dans l'eau (par contre, il faut y aller avec des outils pour l'enlever ou la découper). Enchantement. Non enchantable Source;Comme son nom l'indique... pour traverser à pied sec, pour réparer en urgence une coque de navire, pour sauver un ami de la noyade...;Un plant de calamine (Livre 3, p. 24), 4 pépins de candique, 2 mesures d'eau alchimiquement simple, 1/2 livre de farine, une plume d'un oiseau de mer ou de rivage. Manipulation. Faire chauffer l'eau alchimiquement simple et verser les pépins de candique à la température Bleu-Pourpre-Sangue (Vue/Alchimie à -3). Découper la calamine en petits morceaux et les jeter au fur et à mesure. Arrêter dès que la couleur atteint Bleu-Pourpre-Gris (Vue/Alchimie à-3). Déverser alors toute la farine dans le récipient et remuer vigoureusement. Ne s'arrêter que lorsque la consistance est Hibou-Hibou-Hibou (Dextérité/Alchimie à-3). Plonger alors la plume dans le tout et la retirer prestement. Collée le long de la plume, il y a une sorte de mousse blanche et crémeuse, pour environ 3 mesures.;Jeter une mesure de mousse dans l'eau. Elle gonfle furieusement pour donner une sphère d'un bon mètre de diamètre et solidifie rapidement et flotte sur l'eau. Par la suite la mousse garde une consistance proche du plâtre, sans se décomposer dans l'eau (par contre, il faut y aller avec des outils pour l'enlever ou la découper).;Non enchantable Source;
Le Nacron;Le Nacron (poison ingestif) But. Obtenir 2 écailles de nacron. Ingrédients. L'encre d'une pieuvre, 5 brins de névropenthe, 10 pépins de sel de nacron, 7 pépins de candique. Temps de préparation. 80 minutes, puis 3 à 5 heures d'évaporation. Manipulation. Par disruption alchimique, tirer 10 pépins de sel de nacron d'une livre de coquillages adéquats. Prélever l'encre d'une pieuvre de taille moyenne et la faire chauffer dans une casserole avec 5 brins de névropenthe jusqu'à température pourpre-pourpre. Prélever alors un doigt de la préparation et y mélanger le sel de nacron et 7 pépins de candique. Malaxer jusqu'à consistance lapin-mouton. Jeter cette pommade dans la préparation liquide que l'on a eu soin de retirer du feu et remettre à chauffer jusqu'à température pourpre-pourpre-vert-glauque. Tirer hors du feu et laisser évaporer à la chaleur du soleil. En grattant la casserole, on peut alors récupérer 2 brins d'une poudre rose légèrement nacrée. Si la poudre est noire, la préparation a échoué. Réussir un jet d'INTELLECT/Alchimie à 0 pour isoler les coquillages nécessaires à la préparation. Pour prélever proprement l'encre de la pieuvre, il faut réussir un jet de DEXTERITE/Chirurgie à 0. Utilisation. Le nacron est une poudre rose légèrement nacrée sans aucun goût. Elle se dissout bien dans les boissons (détection -7) mais risque de les colorer. Le vin est idéal. Dans les aliments, un jet de GOUT/Cuisine à 0 permet de remarquer les petits cristaux durs qui ne se seront pas dissous. Une dose fait 1/2 écaille (50 brins). Le nacron Malignité 7 Détection -7 Périodicité 10 minutes Dommages Perte de 2 points de vie et de 1 point de DEXTERITE, sensation de froid, durcissement des extrémités (doigts, oreilles...) Remèdes -3 / Tournegraisse +12, sable-poudre +8, lait de lune +2 1ère Source;Obtenir 2 écailles de nacron.;L'encre d'une pieuvre, 5 brins de névropenthe, 10 pépins de sel de nacron, 7 pépins de candique. Temps de préparation. 80 minutes, puis 3 à 5 heures d'évaporation. Manipulation. Par disruption alchimique, tirer 10 pépins de sel de nacron d'une livre de coquillages adéquats. Prélever l'encre d'une pieuvre de taille moyenne et la faire chauffer dans une casserole avec 5 brins de névropenthe jusqu'à température pourpre-pourpre. Prélever alors un doigt de la préparation et y mélanger le sel de nacron et 7 pépins de candique. Malaxer jusqu'à consistance lapin-mouton. Jeter cette pommade dans la préparation liquide que l'on a eu soin de retirer du feu et remettre à chauffer jusqu'à température pourpre-pourpre-vert-glauque. Tirer hors du feu et laisser évaporer à la chaleur du soleil. En grattant la casserole, on peut alors récupérer 2 brins d'une poudre rose légèrement nacrée. Si la poudre est noire, la préparation a échoué. Réussir un jet d'INTELLECT/Alchimie à 0 pour isoler les coquillages nécessaires à la préparation. Pour prélever proprement l'encre de la pieuvre, il faut réussir un jet de DEXTERITE/Chirurgie à 0.;Le nacron est une poudre rose légèrement nacrée sans aucun goût. Elle se dissout bien dans les boissons (détection -7) mais risque de les colorer. Le vin est idéal. Dans les aliments, un jet de GOUT/Cuisine à 0 permet de remarquer les petits cristaux durs qui ne se seront pas dissous. Une dose fait 1/2 écaille (50 brins). Le nacron Malignité 7 Détection -7 Périodicité 10 minutes Dommages Perte de 2 points de vie et de 1 point de DEXTERITE, sensation de froid, durcissement des extrémités (doigts, oreilles...) Remèdes -3 / Tournegraisse +12, sable-poudre +8, lait de lune +2 1ère Source;;
Elixir Nopeine;Elixir Nopeine But. Annuler l'effet de la douleur, à titre préventif ou comme anesthésiant. Ingrédients. Un bout de cuir épais, un il de Sagouin (Livre 3, p. 41) ou sinon un il de poule, 2 brins de névropenthe, 2 brins de satum. Manipulation. Faire chauffer le bout de cuir au fond d'une marmite. Ajouter l' il de Sagouin et bien malaxer jusqu'à couleur Pourpre (Vue/Alchimie à 0) et consistance Mouton (Dextérité/Alchimie à 0). S'il s'agit d'un il de poule, il faut attendre la couleur Pourpre-Pourpre-Sangue (- 3) et la consistance Mouton-Mouton (-1). Ajouter alors la névropenthe juste comme ça. Ca mousse furieusement pendant une minute ou deux. Verser alors les brins de satum et laisser refroidir jusqu'à température Bleu-Bleu-Brun (Vue/Alchimie à -3). Normalement il y a maintenant au fond du chaudron une mesure d'un liquide brun poisseux, sans trace du morceau de cuir. Utilisation. Avaler une mesure de l'élixir. Au bout d'une minute (10 rounds), on ne ressent plus de douleur pendant une heure : plus de jet pour voir si on est sonné, plus de perte de fatigue due à une perte d'endurance. Comme pour le sort d'Hypnos Insensibilité (Consulter le grand grimoire d'Astyrial Le Magnifique), ceci ne protège ni des blessures ni des hémorragies ou autre : ça empêche juste d'en sentir certains effets. Enchantement. Non enchantable. Source;Annuler l'effet de la douleur, à titre préventif ou comme anesthésiant.;Un bout de cuir épais, un il de Sagouin (Livre 3, p. 41) ou sinon un il de poule, 2 brins de névropenthe, 2 brins de satum. Manipulation. Faire chauffer le bout de cuir au fond d'une marmite. Ajouter l' il de Sagouin et bien malaxer jusqu'à couleur Pourpre (Vue/Alchimie à 0) et consistance Mouton (Dextérité/Alchimie à 0). S'il s'agit d'un il de poule, il faut attendre la couleur Pourpre-Pourpre-Sangue (- 3) et la consistance Mouton-Mouton (-1). Ajouter alors la névropenthe juste comme ça. Ca mousse furieusement pendant une minute ou deux. Verser alors les brins de satum et laisser refroidir jusqu'à température Bleu-Bleu-Brun (Vue/Alchimie à -3). Normalement il y a maintenant au fond du chaudron une mesure d'un liquide brun poisseux, sans trace du morceau de cuir.;Avaler une mesure de l'élixir. Au bout d'une minute (10 rounds), on ne ressent plus de douleur pendant une heure : plus de jet pour voir si on est sonné, plus de perte de fatigue due à une perte d'endurance. Comme pour le sort d'Hypnos Insensibilité (Consulter le grand grimoire d'Astyrial Le Magnifique), ceci ne protège ni des blessures ni des hémorragies ou autre : ça empêche juste d'en sentir certains effets.;Non enchantable. Source;
Potion de nettoyage de parchemin;Potion de nettoyage de parchemin But. Pour redonner du brillant à vos parchemins et retirer toutes ces vieilles encres accumulées dessus. Ingrédients. 4 mesures d'eau Alchimiquement Simple, 3 pépins d'obbadion. Manipulation. Jeter l'obbadion dans l'eau. Chauffer à température Bleu-Vert-Pourpre (Vue/Alchimie à -3), et attendre un peu, puis réchauffer plus fort à température Gris-Vert-Pourpre (Vue/Alchimie à -3). Laisser revenir à l'ambiante. Vous devez obtenir 2 mesures d'un liquide blanc sirupeux à l'odeur épaisse. Utilisation. Une demi-mesure par feuille de parchemin. Faire couler le liquide sur la surface et frotter doucement avec un linge propre. L'écriture partira, ainsi que la crasse, les taches d'encre et autres. Enchantement. Pour avoir un parchemin plus blanc que blanc, du velum surfin ? Source;Pour redonner du brillant à vos parchemins et retirer toutes ces vieilles encres accumulées dessus.;4 mesures d'eau Alchimiquement Simple, 3 pépins d'obbadion. Manipulation. Jeter l'obbadion dans l'eau. Chauffer à température Bleu-Vert-Pourpre (Vue/Alchimie à -3), et attendre un peu, puis réchauffer plus fort à température Gris-Vert-Pourpre (Vue/Alchimie à -3). Laisser revenir à l'ambiante. Vous devez obtenir 2 mesures d'un liquide blanc sirupeux à l'odeur épaisse.;Une demi-mesure par feuille de parchemin. Faire couler le liquide sur la surface et frotter doucement avec un linge propre. L'écriture partira, ainsi que la crasse, les taches d'encre et autres.;Pour avoir un parchemin plus blanc que blanc, du velum surfin ? Source;
